"COURS_IDNO","COURS_DATA_SET_TPCD","COURS_NM","COURS_SNNM","COURS_DSCRT","COURS_CTPRV_NM","COURS_EMNDN_NM","COURS_LTNO","COURS_ARA_NM","COURS_WEBS_ADDR","COURS_TOT_LNGTH","COURS_AVRG_GRDNT","COURS_TOP_HASLV","COURS_LOWST_HASLV","COURS_UPR_LNGTH","COURS_FTL_LNGTH","COURS_DST_LNGTH","COURS_DGDFF_VAL","DATA_STCD","COURS_RQRMN_TM","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"398042","UCHK","경상남도거창군_20190101_054457","경상남도거창군_20190101_054457","경상남도거창군_20190101_054457","경상남도","거창군 북상면","NA","경상남도 함양군","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5078","6508.00","10.16","1493.00","679.00","2.20","1.88","1.60","0","ACCEPT","0","2019-09-30 14:43:31","2019-12-17 21:00:35","398042","I","20190930144331000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398043","UCHK","함지산_20190101_063742","함지산_20190101_063742","함지산_20190101_063742","대구광역시","북구 동천동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3050","5518.00","5.64","293.00","78.00","0.82","3.50","1.20","0","ACCEPT","0","2019-09-30 14:43:31","2019-12-17 21:00:35","398043","I","20190930144331000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398044","UCHK","경상북도칠곡군_20190101_061017","경상북도칠곡군_20190101_061017","경상북도칠곡군_20190101_061017","경상북도","칠곡군 동명면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2041","3609.00","13.25","796.00","430.00","1.30","0.80","1.50","0","ACCEPT","0","2019-09-30 14:43:31","2019-12-17 21:00:35","398044","I","20190930144331000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398048","UCHK","대전광역시대덕구 계족산 일출. _20190101_061205","대전광역시대덕구 계족산 일출. _20190101_061205","대전광역시대덕구 계족산 일출. _20190101_061205","대전광역시","대덕구 회덕동","NA","대전광역시 대덕구","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2042","5524.00","7.58","431.00","109.00","1.40","2.52","1.60","0","ACCEPT","0","2019-09-30 14:43:33","2019-12-17 21:00:35","398048","I","20190930144333000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398049","UCHK","태백산장군봉-태백산_20190101_042550","태백산장군봉-태백산_20190101_042550","태백산장군봉-태백산_20190101_042550","강원도","태백시 문곡소도동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4066","9216.00","10.68","1640.00","835.00","3.30","1.70","4.20","0","ACCEPT","0","2019-09-30 14:43:34","2019-12-17 21:00:35","398049","I","20190930144334000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398051","UCHK","대구광역시달성군_20190101_071751","대구광역시달성군_20190101_071751","일출보기위해 올라오다.. 모암봉","대구광역시","달성군 다사읍","NA","대구광역시 달성군","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2043","3830.00","6.88","191.00","34.00","0.72","1.60","1.50","0","ACCEPT","0","2019-09-30 14:43:34","2019-12-17 21:00:35","398051","I","20190930144334000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398052","UCHK","강원도평창군_20190101_064148","강원도평창군_20190101_064148","강원도평창군_20190101_064148","강원도","평창군 대관령면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1032","3883.00","4.79","1022.00","857.00","1.00","2.00","0.88","0","ACCEPT","0","2019-09-30 14:43:34","2019-12-17 21:00:35","398052","I","20190930144334000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398055","UCHK","사직공원_20181220_200149","사직공원_20181220_200149","사직공원_20181220_200149","광주광역시","남구 사직동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4","1322.00","1.44","123.00","93.00","0.10","1.22","0.00","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398055","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398056","UCHK","비슬산_20190101_000026","비슬산_20190101_000026","비슬산_20190101_000026","대구광역시","달성군 가창면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5","1.00","0.00","1112.00","1112.00","0.00","0.00","0.00","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398056","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398057","UCHK","대구광역시동구_20181231_185812","대구광역시동구_20181231_185812","대구광역시동구_20181231_185812","대구광역시","동구 공산동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6","8.00","0.00","394.00","391.00","0.00","0.01","0.00","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398057","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398058","UCHK","성재산-계족산성산성봉_20190101_055727","성재산-계족산성산성봉_20190101_055727","성재산-계족산성산성봉_20190101_055727","대전광역시","대덕구 법2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3051","8439.00","5.62","456.00","96.00","1.60","4.94","1.90","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398058","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398059","UCHK","경기도오산시_20190101_100718","경기도오산시_20190101_100718","경기도오산시_20190101_100718","경기도","오산시 신장동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6092","5982.00","3.82","179.00","43.00","0.80","4.20","1.10","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398059","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398061","UCHK","달음산_20190101_063148","달음산_20190101_063148","달음산_20190101_063148","부산광역시","기장군 정관읍","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1034","473.00","13.92","601.00","276.00","1.19","0.30","0.00","0","ACCEPT","0","2019-09-30 14:43:36","2019-12-17 21:00:35","398061","I","20190930144336000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398062","UCHK","대구광역시동구_20190101_063347","대구광역시동구_20190101_063347","대구광역시동구_20190101_063347","대구광역시","동구 불로.봉무동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2044","4909.00","6.94","354.00","72.00","1.00","2.40","1.50","0","ACCEPT","0","2019-09-30 14:43:37","2019-12-17 21:00:35","398062","I","20190930144337000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398065","UCHK","개운산_20190101_065621","개운산_20190101_065621","개운산_20190101_065621","서울특별시","성북구 종암동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1035","2210.00","3.95","149.00","64.00","0.30","1.50","0.40","0","ACCEPT","0","2019-09-30 14:43:38","2019-12-17 21:00:35","398065","I","20190930144338000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398066","UCHK","금정산","금정산","금정산","부산광역시","금정구 청룡노포동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4067","7927.00","8.19","836.00","289.00","2.60","3.50","1.83","0","ACCEPT","0","2019-09-30 14:43:39","2019-12-17 21:00:35","398066","I","20190930144339000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398068","UCHK","관악산연주대-자운암국기대_20190101_061942","관악산연주대-자운암국기대_20190101_061942","관악산연주대-자운암국기대_20190101_061942","서울특별시","관악구 대학동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2045","3984.00","14.77","660.00","210.00","1.50","0.70","1.70","0","ACCEPT","0","2019-09-30 14:43:40","2019-12-17 21:00:35","398068","I","20190930144340000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398070","UCHK","계양산-계양공원_20190101_071334","계양산-계양공원_20190101_071334","계양산-계양공원_20190101_071334","인천광역시","계양구 계산2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3052","6779.00","6.90","414.00","42.00","1.50","3.78","1.50","0","ACCEPT","0","2019-09-30 14:43:40","2019-12-17 21:00:35","398070","I","20190930144340000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398071","UCHK","경기도부천시원미구_20190101_065221","경기도부천시원미구_20190101_065221","경기도부천시원미구_20190101_065221","경기도","부천시 부천동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1037","4220.00","4.38","141.00","40.00","0.60","2.82","0.80","0","ACCEPT","0","2019-09-30 14:43:41","2019-12-17 21:00:35","398071","I","20190930144341000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398072","UCHK","하동 금오산    청소년수련원 해맞이공원","하동 금오산    청소년수련원 해맞이공원","하동 금오산    청소년수련원 해맞이공원","경상남도","하동군 금남면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6094","7252.00","12.58","858.00","108.00","3.10","1.35","2.80","0","ACCEPT","0","2019-09-30 14:43:42","2019-12-17 21:00:35","398072","I","20190930144342000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398073","UCHK","할미산-석성산_20190101_064423","할미산-석성산_20190101_064423","할미산-석성산_20190101_064423","경기도","용인시 기흥구 동백동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4068","6079.00","9.46","495.00","152.00","1.70","2.58","1.80","0","ACCEPT","0","2019-09-30 14:43:42","2019-12-17 21:00:35","398073","I","20190930144342000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398075","UCHK","충청남도아산시_20181231_075736","충청남도아산시_20181231_075736","충청남도아산시_20181231_075736","충청남도","아산시 온양2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1038","5817.00","5.33","200.00","61.00","1.20","3.00","1.62","0","ACCEPT","0","2019-09-30 14:43:43","2019-12-17 21:00:35","398075","I","20190930144343000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398077","UCHK","충남_계룡산_남매탑__일출산행_20190101_055520","충남_계룡산_남매탑__일출산행_20190101_055520","충남_계룡산_남매탑__일출산행_20190101_055520","충청남도","공주시 반포면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3053","7552.00","7.32","630.00","185.00","1.90","4.05","1.60","0","ACCEPT","0","2019-09-30 14:43:45","2019-12-17 21:00:35","398077","I","20190930144345000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398079","UCHK","검단산_20190101_090547","검단산_20190101_090547","검단산_20190101_090547","경기도","하남시 천현동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6095","6517.00","11.77","685.00","54.00","2.90","0.50","3.10","0","ACCEPT","0","2019-09-30 14:43:46","2019-12-17 21:00:35","398079","I","20190930144346000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398082","UCHK","충청북도보은군_20190101_033745","충청북도보은군_20190101_033745","충청북도보은군_20190101_033745","충청북도","보은군 속리산면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5080","15471.00","8.25","1055.00","357.00","3.78","8.53","3.17","0","ACCEPT","0","2019-09-30 14:43:47","2019-12-17 21:00:35","398082","I","20190930144347000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398083","UCHK","와룡_20190101_060052","와룡_20190101_060052","와룡_20190101_060052","서울특별시","종로구 혜화동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2047","4967.00","3.97","222.00","88.00","0.70","3.47","0.80","0","ACCEPT","0","2019-09-30 14:43:47","2019-12-17 21:00:35","398083","I","20190930144347000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398084","UCHK","월라산_20190101_070437","월라산_20190101_070437","월라산_20190101_070437","충청남도","아산시 송악면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3055","2241.00","9.91","277.00","76.00","0.80","0.54","0.90","0","ACCEPT","0","2019-09-30 14:43:47","2019-12-17 21:00:35","398084","I","20190930144347000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398085","UCHK","전라남도목포시_20190101_071529","전라남도목포시_20190101_071529","전라남도목포시_20190101_071529","전라남도","목포시 목원동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1040","2845.00","4.88","194.00","40.00","0.40","2.20","0.70","0","ACCEPT","0","2019-09-30 14:43:48","2019-12-17 21:00:35","398085","I","20190930144348000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398086","UCHK","태백산장군봉-태백산_20190101_050005","태백산장군봉-태백산_20190101_050005","태백산장군봉-태백산_20190101_050005","강원도","태백시 문곡소도동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4070","8538.00","10.48","1600.00","883.00","3.30","1.30","3.90","0","ACCEPT","0","2019-09-30 14:43:48","2019-12-17 21:00:35","398086","I","20190930144348000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398087","UCHK","함백산_20190101_055929","함백산_20190101_055929","함백산_20190101_055929","강원도","정선군 고한읍","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1041","2257.00","14.62","1611.00","1367.00","0.80","0.76","0.70","0","ACCEPT","0","2019-09-30 14:43:49","2019-12-17 21:00:35","398087","I","20190930144349000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398089","UCHK","경기도용인시수지구_20181231_235826","경기도용인시수지구_20181231_235826","경기도용인시수지구_20181231_235826","경기도","용인시 수지구 풍덕천1동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/11","288.00","1.33","112.00","89.00","0.00","0.60","0.00","0","ACCEPT","0","2019-09-30 14:43:49","2019-12-17 21:00:35","398089","I","20190930144349000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398090","UCHK","아차산_새해_20190101_070909","아차산_새해_20190101_070909","아차산_새해_20190101_070909","서울특별시","광진구 구의2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3056","3463.00","6.10","198.00","25.00","0.80","1.76","0.80","0","ACCEPT","0","2019-09-30 14:43:50","2019-12-17 21:00:35","398090","I","20190930144350000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398091","UCHK","갈립산빡빡산_20190101_064637","갈립산빡빡산_20190101_064637","갈립산빡빡산_20190101_064637","경기도","의정부시 자금동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2048","5010.00","7.80","382.00","13.00","1.40","2.30","1.30","0","ACCEPT","0","2019-09-30 14:43:50","2019-12-17 21:00:35","398091","I","20190930144350000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398093","UCHK","해공신익희선생동상-남한산성_20190101_115329","해공신익희선생동상-남한산성_20190101_115329","해공신익희선생동상-남한산성_20190101_115329","경기도","광주시 남한산성면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6097","20.00","0.00","344.00","339.00","0.00","0.02","0.00","0","ACCEPT","0","2019-09-30 14:43:51","2019-12-17 21:00:35","398093","I","20190930144351000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398095","UCHK","전라북도완주군_봉실산_20190101_065131","전라북도완주군_봉실산_20190101_065131","봉실봉","전라북도","완주군 봉동읍","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2049","3499.00","8.89","345.00","101.00","0.80","1.80","0.90","0","ACCEPT","0","2019-09-30 14:43:52","2019-12-17 21:00:35","398095","I","20190930144352000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398096","UCHK","망일봉-함지산_20190101_061851","망일봉-함지산_20190101_061851","망일봉-함지산_20190101_061851","대구광역시","북구 구암동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1042","5859.00","8.16","315.00","84.00","1.90","2.10","1.86","0","ACCEPT","0","2019-09-30 14:43:52","2019-12-17 21:00:35","398096","I","20190930144352000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398097","UCHK","미타봉동봉-염불봉_20190101_053241","미타봉동봉-염불봉_20190101_053241","미타봉동봉-염불봉_20190101_053241","대구광역시","동구 공산동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5081","9408.00","10.10","1197.00","453.00","3.30","2.70","3.40","0","ACCEPT","0","2019-09-30 14:43:53","2019-12-17 21:00:35","398097","I","20190930144353000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398098","UCHK","기마봉_20190101_072113","기마봉_20190101_072113","기마봉_20190101_072113","강원도","강릉시 옥계면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1043","3270.00","4.40","388.00","259.00","0.60","2.07","0.60","0","ACCEPT","0","2019-09-30 14:43:53","2019-12-17 21:00:35","398098","I","20190930144353000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398100","UCHK","충청남도공주시_20181230_091329","충청남도공주시_20181230_091329","충청남도공주시_20181230_091329","충청남도","공주시 계룡면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/12","7926.00","10.75","801.00","140.00","2.50","2.33","3.10","0","ACCEPT","0","2019-09-30 14:43:54","2019-12-17 21:00:35","398100","I","20190930144354000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398107","UCHK","관기봉_20190101_062429","관기봉_20190101_062429","관기봉_20190101_062429","대구광역시","달성군 유가읍","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2051","7019.00","9.43","1017.00","484.00","2.00","2.10","2.90","0","ACCEPT","0","2019-09-30 14:43:57","2019-12-17 21:00:35","398107","I","20190930144357000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398109","UCHK","경기도부천시원미구_20190101_070654","경기도부천시원미구_20190101_070654","원미산 해돋이","경기도","부천시 부천동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2052","3103.00","5.39","168.00","22.00","0.70","1.70","0.70","0","ACCEPT","0","2019-09-30 14:43:59","2019-12-17 21:00:35","398109","I","20190930144359000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398110","UCHK","울산간절곶해맞이_20190101_062558","울산간절곶해맞이_20190101_062558","울산간절곶해맞이_20190101_062558","울산광역시","울주군 서생면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1045","3555.00","0.40","56.00","38.00","0.10","3.40","0.00","0","ACCEPT","0","2019-09-30 14:43:59","2019-12-17 21:00:35","398110","I","20190930144359000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398111","UCHK","지리산천왕봉_20190101_025505","지리산천왕봉_20190101_025505","지리산천왕봉_20190101_025505","경상남도","산청군 시천면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5082","10755.00","16.83","1944.00","594.00","4.52","1.26","4.98","0","ACCEPT","0","2019-09-30 14:43:59","2019-12-17 21:00:35","398111","I","20190930144359000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398112","UCHK","백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835","백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835","백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835","전라북도","무주군 안성면","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3058","10556.00","8.49","1639.00","595.00","4.84","3.80","0.30","0","ACCEPT","0","2019-09-30 14:44:00","2019-12-17 21:00:35","398112","I","20190930144400000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398113","UCHK","소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731","소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731","소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731","경기도","용인시 수지구 성복동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4072","14255.00","8.30","654.00","123.00","3.12","7.72","3.41","0","ACCEPT","0","2019-09-30 14:44:00","2019-12-17 21:00:35","398113","I","20190930144400000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398114","UCHK","삼각봉-한라산-백록담동능__관음사콧_20190101_010929","삼각봉-한라산-백록담동능__관음사콧_20190101_010929","삼각봉-한라산-백록담동능__관음사콧_20190101_010929","제주특별자치도","제주시 아라동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6099","17907.00","14.25","1952.00","601.00","6.92","4.93","6.06","0","ACCEPT","0","2019-09-30 14:44:01","2019-12-17 21:00:35","398114","I","20190930144401000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
