"TRK_IDNO","TRK_NM","TRK_SNNM","TRK_LNGTH","TRK_CTPRV_NM","TRK_EMNDN_NM","TRK_LTNO","TRK_ARA_NM","TRK_RQRMN_TM","TRK_RST_TM","TRK_SPRT_ITE_IDNO","TRK_BGN_LCTN_LNGTD","TRK_BGN_LCTN_LTTD","TRK_END_LCTN_LNGTD","TRK_END_LCTN_LTTD","TRK_AVRG_GRDNT","TRK_TOP_HASLV","TRK_LOWST_HASLV","TRK_UPR_LNGTH","TRK_FTL_LNGTH","TRK_DST_LNGTH","TRK_DGDFF_VAL","DATA_STCD","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"20192048","갈립산빡빡산_20190101_064637","갈립산빡빡산_20190101_064637","5010.00","경기도","의정부시 자금동","","","13336","2517","1","127.074905","37.758968","127.074661","37.759132","7.80","382.00","13.00","1.40","2.30","1.30","0","ACCEPT","2019-09-30 14:43:47","2019-12-17 17:22:27","393998","I","20190930144347000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196097","해공신익희선생동상-남한산성_20190101_115329","해공신익희선생동상-남한산성_20190101_115329","20.00","경기도","광주시 남한산성면","","","58","0","1","127.188789","37.476757","127.188606","37.476646","0.00","344.00","339.00","0.00","0.02","0.00","0","ACCEPT","2019-09-30 14:43:51","2019-12-17 17:22:27","394007","I","20190930144351000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192049","전라북도완주군_봉실산_20190101_065131","전라북도완주군_봉실산_20190101_065131","3499.00","전라북도","완주군 봉동읍","","","12526","2844","1","127.129349","35.968277","127.128693","35.968712","8.89","345.00","101.00","0.80","1.80","0.90","0","ACCEPT","2019-09-30 14:43:50","2019-12-17 17:22:27","394006","I","20190930144350000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191042","망일봉-함지산_20190101_061851","망일봉-함지산_20190101_061851","5859.00","대구광역시","북구 구암동","","","12849","700","1","128.567169","35.932785","128.568817","35.931988","8.16","315.00","84.00","1.90","2.10","1.86","0","ACCEPT","2019-09-30 14:43:49","2019-12-17 17:22:27","394002","I","20190930144349000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195081","미타봉동봉-염불봉_20190101_053241","미타봉동봉-염불봉_20190101_053241","9408.00","대구광역시","동구 공산동","","","41650","5407","1","128.681580","35.992420","128.681488","35.992474","10.10","1197.00","453.00","3.30","2.70","3.40","0","ACCEPT","2019-09-30 14:43:47","2019-12-17 17:22:27","393997","I","20190930144347000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191043","기마봉_20190101_072113","기마봉_20190101_072113","3270.00","강원도","강릉시 옥계면","","","4225","506","1","129.019608","37.643627","129.016022","37.643623","4.40","388.00","259.00","0.60","2.07","0.60","0","ACCEPT","2019-09-30 14:43:52","2019-12-17 17:22:27","394011","I","20190930144352000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201912","충청남도공주시_20181230_091329","충청남도공주시_20181230_091329","7926.00","충청남도","공주시 계룡면","","","32958","12138","1","127.180641","36.370045","127.180351","36.370426","10.75","801.00","140.00","2.50","2.33","3.10","0","ACCEPT","2019-09-30 14:43:50","2019-12-17 17:22:27","394004","I","20190930144350000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192051","관기봉_20190101_062429","관기봉_20190101_062429","7019.00","대구광역시","달성군 유가읍","","","21106","1008","1","128.505951","35.692562","128.506134","35.692745","9.43","1017.00","484.00","2.00","2.10","2.90","0","ACCEPT","2019-09-30 14:43:55","2019-12-17 17:22:27","394018","I","20190930144355000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192052","경기도부천시원미구_20190101_070654","경기도부천시원미구_20190101_070654","3103.00","경기도","부천시 부천동","","","10442","3421","1","126.797180","37.504837","126.792160","37.497532","5.39","168.00","22.00","0.70","1.70","0.70","0","ACCEPT","2019-09-30 14:43:57","2019-12-17 17:22:27","394022","I","20190930144357000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191045","울산간절곶해맞이_20190101_062558","울산간절곶해맞이_20190101_062558","3555.00","울산광역시","울주군 서생면","","","5449","4826","1","129.346573","35.352619","129.346298","35.352932","0.40","56.00","38.00","0.10","3.40","0.00","0","ACCEPT","2019-09-30 14:43:58","2019-12-17 17:22:27","394023","I","20190930144358000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195082","지리산천왕봉_20190101_025505","지리산천왕봉_20190101_025505","10755.00","경상남도","산청군 시천면","","","54910","15930","1","127.749107","35.303898","127.751656","35.301666","16.83","1944.00","594.00","4.52","1.26","4.98","0","ACCEPT","2019-09-30 14:43:53","2019-12-17 17:22:27","394012","I","20190930144353000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193058","백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835","백암봉-중봉-덕유산향적봉-실크로드상단-실크로드상단-미뉴에트-설천봉_20190101_031835","10556.00","전라북도","무주군 안성면","","","42227","13249","1","127.699905","35.838009","127.745033","35.889160","8.49","1639.00","595.00","4.84","3.80","0.30","0","ACCEPT","2019-09-30 14:43:54","2019-12-17 17:22:27","394015","I","20190930144354000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194072","소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731","소공원-형제봉-비로봉-광교산시루봉-수리봉암봉_20190101_055731","14255.00","경기도","용인시 수지구 성복동","","","34521","539","1","127.076195","37.313091","127.075584","37.312366","8.30","654.00","123.00","3.12","7.72","3.41","0","ACCEPT","2019-09-30 14:43:52","2019-12-17 17:22:27","394009","I","20190930144352000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196099","삼각봉-한라산-백록담동능__관음사콧_20190101_010929","삼각봉-한라산-백록담동능__관음사콧_20190101_010929","17907.00","제주특별자치도","제주시 아라동","","","74731","25710","1","126.550247","33.421886","126.550217","33.421715","14.25","1952.00","601.00","6.92","4.93","6.06","0","ACCEPT","2019-09-30 14:43:55","2019-12-17 17:22:27","394016","I","20190930144355000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191046","장군대산_20190101_065509","장군대산_20190101_065509","4187.00","경상남도","진주시 금산면","","","5720","1656","1","128.186081","35.199863","128.188293","35.198925","6.59","507.00","258.00","1.30","1.19","1.70","0","ACCEPT","2019-09-30 14:43:59","2019-12-17 17:22:27","394025","I","20190930144359000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201917","타종_20181231_152507","타종_20181231_152507","8646.00","울산광역시","남구 달동","","","20939","62846","1","129.321533","35.537827","129.305847","35.529755","0.86","75.00","14.00","0.20","8.25","0.20","0","ACCEPT","2019-09-30 14:43:57","2019-12-17 17:22:27","394021","I","20190930144357000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193059","경기도남양주시_20190101_062001","경기도남양주시_20190101_062001","7445.00","경기도","남양주시 화도읍","","","23208","2150","1","127.292496","37.664978","127.303955","37.666374","12.24","807.00","112.00","2.80","1.70","2.94","0","ACCEPT","2019-09-30 14:44:00","2019-12-17 17:22:27","394027","I","20190930144400000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195083","서울특별시종로구_20181230_124518","서울특별시종로구_20181230_124518","4945.00","서울특별시","종로구 평창동","","","33659","0","1","126.956566","37.608555","126.925812","37.621189","9.28","451.00","9.00","1.30","1.85","1.80","0","ACCEPT","2019-09-30 14:44:00","2019-12-17 17:22:27","394026","I","20190930144400000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191047","인천광역시남동구_20190101_064936","인천광역시남동구_20190101_064936","1440.00","인천광역시","남동구 간석3동","","","3720","4224","1","126.710800","37.471275","126.709969","37.470028","10.63","204.00","59.00","0.40","0.74","0.30","0","ACCEPT","2019-09-30 14:44:02","2019-12-17 17:22:27","394030","I","20190930144402000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196101","상주산_20190101_103720","상주산_20190101_103720","3187.00","인천광역시","강화군 삼산면","","","11413","314","1","126.315849","37.739746","126.315895","37.739632","8.60","276.00","18.00","1.30","0.70","1.19","0","ACCEPT","2019-09-30 14:44:02","2019-12-17 17:22:27","394034","I","20190930144402000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196102","충청북도영동군_20190101_100829","충청북도영동군_20190101_100829","514.00","충청북도","영동군 양강면","","","5606","5017","1","127.690773","36.145390","127.690819","36.145432","5.67","181.00","141.00","0.10","0.30","0.20","0","ACCEPT","2019-09-30 14:44:04","2019-12-17 17:22:27","394046","I","20190930144404000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195085","충북단양군_20190101_052019","충북단양군_20190101_052019","5206.00","충청북도","단양군 가곡면","","","23400","425","1","128.459595","36.986645","128.483307","36.963440","0.00","1453.00","452.00","0.00","0.00","0.00","0","ACCEPT","2019-09-30 14:44:03","2019-12-17 17:22:27","394039","I","20190930144403000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193060","미륵산_20190101_063927","미륵산_20190101_063927","6078.00","전라북도","익산시 금마면","","","23307","113","1","127.033501","36.012867","127.041336","36.004814","8.69","484.00","67.00","0.40","4.00","1.10","0","ACCEPT","2019-09-30 14:44:02","2019-12-17 17:22:27","394035","I","20190930144402000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192053","봉황산-금오산-금오산금오봉_20190101_034855","봉황산-금오산-금오산금오봉_20190101_034855","9750.00","전라남도","여수시 돌산읍","","","40354","4554","1","127.782799","34.640987","127.800949","34.593292","7.15","470.00","40.00","2.25","5.60","1.90","0","ACCEPT","2019-09-30 14:43:59","2019-12-17 17:22:27","394024","I","20190930144359000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191049","대구광역시남구_20190101_062707","대구광역시남구_20190101_062707","2391.00","대구광역시","남구 봉덕2동","","","5923","415","1","128.598633","35.822704","128.586304","35.807507","9.62","582.00","228.00","1.69","0.70","0.00","0","ACCEPT","2019-09-30 14:44:04","2019-12-17 17:22:27","394045","I","20190930144404000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194074","마두봉-향로봉_20190101_045300","마두봉-향로봉_20190101_045300","7214.00","경상북도","포항시 북구 죽장면","","","32242","13426","1","129.236069","36.268116","129.236176","36.268089","12.25","968.00","309.00","2.60","1.90","2.71","0","ACCEPT","2019-09-30 14:44:02","2019-12-17 17:22:27","394033","I","20190930144402000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192054","형제봉_20190101_062420","형제봉_20190101_062420","6182.00","경기도","수원시 영통구 광교1동","","","21416","724","1","127.042282","37.308418","127.044479","37.308292","9.54","507.00","121.00","1.90","1.90","2.28","0","ACCEPT","2019-09-30 14:44:05","2019-12-17 17:22:27","394051","I","20190930144405000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194075","고룡산_일출_2019_20190101_064734","고룡산_일출_2019_20190101_064734","3488.00","충청남도","아산시 영인면","","","13757","3642","1","126.981766","36.883778","126.996719","36.899864","9.23","323.00","47.00","0.80","1.39","1.30","0","ACCEPT","2019-09-30 14:44:07","2019-12-17 17:22:27","394054","I","20190930144407000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
